"Codice","Tipologia Struttura","Denominazione Tipologia Struttura","Denominazione Stabilimento","Denominazione Struttura","Codice Struttura","Sub codice Stabilimento","Codice Azienda","Denominazione Azienda","Anno","Data Apertura Stabilimento","Data Chiusura Stabilimento","Partita IVA","Indirizzo Stabilimento","Codice Comune","Denominazione Comune","Codice Provincia","Denominazione Provincia","CAP Stabilimento","Prefisso telefonico Stabilimento","Telefono Stabilimento","Prefisso FAX (HSP11B)","Fax (HSP11B)","HSP E_MAIL","Website (HSP11B)"
"10709063901","HSP","STRUTTURA OSPEDALIERA","OSPEDALI RIUNITI DELLA VAL DI CHIANA","OSPEDALI RIUNITI DELLA VAL DI CHIANA","090639","01","107","Az. USL 7 di Siena","2015",01/01/2001,31/12/9999,"00388720522","VIA PROVINCIALE MONTEPULCIANO, 5","052015","Montepulciano","052","SIENA","53045","0578","713111","0578","713550","g.neri@usl7.toscana.it","http://www.usl7.toscana.it/"
"10109060101","HSP","STRUTTURA OSPEDALIERA","OSP. S. ANTONIO ABATE FIVIZZANO   (MS)","Presidio Ospedaliero  Zona Lunigiana","090601","01","101","Az. USL 1 di Massa Carrara","2015",01/01/1988,31/12/9999,"00294690458","SALITA S.FRANCESCO 1","045007","Fivizzano","045","MASSA E CARRARA","54013","0585","9401","0585","940342","m.damico@usl1.toscana.it",
"11009063203","HSP","STRUTTURA OSPEDALIERA","OSP. S. GIOVANNI DI DIO TORREGALLI","OSPEDALE FIORENTINO","090632","03","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"04612810483","VIA TORRE GALLI, 3","048017","Firenze","048","FIRENZE","50143","055","6932466","055","6932417","dirsan.sgd@asf.toscana.it","www.asf.toscana.it"
"10109060203","HSP","STRUTTURA OSPEDALIERA","OSP.SS.GIACOMO E CRISTOFORO DI MASSA","Presidio Ospedaliero Zona  Apuana","090602","03","101","Az. USL 1 di Massa Carrara","2015",01/01/1988,,"00294690458","VIA ORECCHIA","045003","Carrara","045","MASSA E CARRARA","54100","0584","4931",,,,
"10509061001","HSP","STRUTTURA OSPEDALIERA","P.O. F. LOTTI STABILIMENTO DI PONTEDERA","PRESIDIO OSPEDALIERO ""FELICE LOTTI""","090610","01","105","Az. USL 5 di Pisa","2015",01/01/1995,31/12/9999,"01311020505","VIA ROMA,180","050029","Pontedera","050","PISA","56025","0587","273111",,,,
"10709063701","HSP","STRUTTURA OSPEDALIERA","PRESIDIO OSPEDALIERO AMIATA SENESE","PRESIDIO OSPEDALIERO AMIATA SENESE","090637","01","107","Az. USL 7 di Siena","2015",01/01/1999,31/12/9999,"00388720522","VIA TRENTO","052001","Abbadia San Salvatore","052","SIENA","53021","0577","7731","0577","776013","g.vernarecci@usl7.toscana.it","http://www.usl7.toscana.it/"
"10209060401","HSP","STRUTTURA OSPEDALIERA","PRESIDIO OSPEDALIERO SAN LUCA","PRESIDIO OSPEDALIERO SAN LUCA","090604","01","102","Az. USL 2 di Lucca","2015",01/01/1988,31/12/9999,"00559320460","Via Guglielmo Lippi Francesconi","046017","Lucca","046","LUCCA","55100","0583","9701",,,,
"10509060901","HSP","STRUTTURA OSPEDALIERA","PRESIDIO OSP.SANTA MARIA MADDALENA","PRESIDIO OSPEDALIERO ""S.MARIA MADDALENA""","090609","01","105","Az. USL 5 di Pisa","2015",01/01/1995,31/12/9999,"01311020505","BORGO SAN LAZZARO,5","050039","Volterra","050","PISA","56048","0588","91850",,,,
"11009063201","HSP","STRUTTURA OSPEDALIERA","SANTA MARIA NUOVA","OSPEDALE FIORENTINO","090632","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"04612810483","P.ZZA S. M. NUOVA, 1","048017","Firenze","048","FIRENZE","50122","055","69381","055","6938894","dirsan.posmn@asf.toscana.it","www.asf.toscana.it"
"10709063401","HSP","STRUTTURA OSPEDALIERA","SERVIZIO PSICHIATRICO DIAGNOSI E CURA","SERVIZIO PSICHIATRICO DIAGNOSI E CURA","090634","01","107","Az. USL 7 di Siena","2015",01/07/1996,31/12/9999,"00388270522","P.TA TUFI","052032","Siena","052","SIENA","53100","0577","586111","0577","536109","paolo.martini@usl.toscana.it","http://www.usl7.toscana.it/"
"10509061002","HSP","STRUTTURA OSPEDALIERA","SPDC AZIENDALE ASL5","PRESIDIO OSPEDALIERO ""FELICE LOTTI""","090610","02","105","Az. USL 5 di Pisa","2015",18/02/2013,31/12/9999,"01311020505","Via Roma ","050029","Pontedera","050","PISA","56126","050","959774",,,"dir.gen@usl5.toscana.it","www.usl5.toscana.it"
"11009021601","HSP","STRUTTURA OSPEDALIERA","VILLA DEI PINI S.R.L.","VILLA DEI PINI S.R.L.","090216","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"03446580486","VIA UGO FOSCOLO 78","048017","Firenze","048","FIRENZE","50124","055","221691","055","2280617","accettazione@villadeipini.it","www.villadeipini.it"
"11009022901","HSP","STRUTTURA OSPEDALIERA","VILLA DELLE TERME S.P.A.","VILLA DELLE TERME SPA","090229","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"01322470483","VIA CASSIA 217","048022","Impruneta","048","FIRENZE","50023","055","2020186","055","2020151","villadelleterme@pec.villadelleterme.com","www.villadelleterme.com"
"11009022701","HSP","STRUTTURA OSPEDALIERA","VILLA DELLE TERME SPA","VILLA DELLE TERME SPA","090227","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"01322470483","VIA MARCONI 4","048017","Firenze","048","FIRENZE","50131","055","574204","055","570666","villadelleterme@pec.villadelleterme.com","www.villadelleterme.com"
"11009021501","HSP","STRUTTURA OSPEDALIERA","VILLA MARIA BEATRICE","VILLA MARIA BEATRICE HOSPITAL SRL","090215","01","110","Az. USL 10 di Firenze","2015",01/01/1995,31/12/9999,"01171680489","VIA A. MANZONI 12","048017","Firenze","048","FIRENZE","50121","055","23571","055","2345290","dirgen-mbh@gvm-vmb.it","www.gruppovillamaria.it"
